Means of Transport;MTr Description
ZFT001;FRT Kleintransporter bis 3,5 t
ZFT002;FRT LKW 3,5 bis 7,5 t
ZFT003;FRT Sprinter
ZFT004;FRT LKW 7,5 bis 18 t
ZFT005;FRT Elektro Sprinter
ZFT006;FRT Elektro VW Transporter
