KEY;PARENT_KEY;ROOT_KEY;TO Stop Key;Successor;Stage Type;Stage Category;Error on Node Instance;Decimal Value;Duration;Means of Transport;Transportation Mode;Transportation Mode Category;Not Relevant for Planning;Relevant for ADR DG Exemption;No ADR Exemption;Planning Block;Execution Block;Predecessor Doc. Block;Predecessor Doc. Block;Shipping Type;MTr from Transportation Proposal;Carrier Party BP GUID;Carrier;SCAC;Airline Code;AWB Prefix;Transportation Mode;Transportation Mode Category;Preferred Equipment Group;Preferred Equipment Type;Plan. and Exec. Org.;Plan. and Exec. Group;Agrmt Prtnr Function;Role Code of Other Agreement Party;Voyage;Airline Code/Flight Number;Vessel;IMO Ship Identification Number;Country/Region Key;Schedule Key;Aircraft Type;Flight Number;Space Allocation Action Code;Space Allocation Advice Code;Origin of Entry;Allotment ID;Successor Category of Stop;Order Relationship;Person Responsible;Planning Status;Organization Interaction Status;Org. Interaction Requested By;Rejection Reason Code;Customs Activity;Business Partner;Invoicing Carrier;SCAC;Stage Invoicing Carrier Level;Agreement;Agreement Item No.;NodeID;NodeID;Bill-To Party;Bill-To Party;External Reference Number;Company Code Paying the Trp. Service;Company Org. Paying the Trp. Service;External Planning Relevance;Maximum Utilization;Maximum Utilization;Maximum Utilization;Maximum Utilization;Maximum Utilization;Driver Assignment Status;Calculated CO₂ Emissions;Calculated CO₂ Emissions UoM;Allocation Method for CO₂ Emissions;Dummy function in length 1;Lenkzeitpause;Data Aging Filter,
005056AB7BFC1FD0B08E9D222B247A15;005056AB7BFC1FD0B08E9D222B215A15;005056AB7BFC1FD0B08E9D222B243A15;005056AB7BFC1FD0B08E9D222B245A15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B249A15;005056AB7BFC1FD0B08E9D222B215A15;005056AB7BFC1FD0B08E9D222B23DA15;005056AB7BFC1FD0B08E9D222B243A15;60;;;;0.655465;;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;33.00;Dez 72;33.00;0;0;N;0.00033606955482;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B24DA15;005056AB7BFC1FD0B08E9D222B215A15;005056AB7BFC1FD0B08E9D222B245A15;005056AB7BFC1FD0B08E9D222B24BA15;70;;;;19.028.343;00:12;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0.0095141715;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B259A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B255A15;005056AB7BFC1FD0B08E9D222B257A15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B25BA15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B253A15;005056AB7BFC1FD0B08E9D222B255A15;10;;;;1.492.241;00:01;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;100.00;46.32;100.00;0;0;N;0.00081523482;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B261A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B25DA15;005056AB7BFC1FD0B08E9D222B25FA15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B263A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B257A15;005056AB7BFC1FD0B08E9D222B25DA15;20;;;;0.403922;;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;83.00;39.21;83.00;0;0;N;0.00021779899421;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B269A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B265A15;005056AB7BFC1FD0B08E9D222B267A15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B26BA15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B25FA15;005056AB7BFC1FD0B08E9D222B265A15;30;;;;0.594191;;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;67.00;30.88;67.00;0;0;N;0.00031544245018;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B271A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B26DA15;005056AB7BFC1FD0B08E9D222B26FA15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B273A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B267A15;005056AB7BFC1FD0B08E9D222B26DA15;40;;;;0.871889;;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;46.00;28. Jul;46.00;0;0;N;0.00046041857719;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B279A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B275A15;005056AB7BFC1FD0B08E9D222B277A15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B27BA15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B26FA15;005056AB7BFC1FD0B08E9D222B275A15;50;;;;1.096.542;;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;27.00;19.82;27.00;0;0;N;0.00057000946421;KG;DIST_WT;;;,
005056AB7BFC1FD0B08E9D222B281A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B27DA15;005056AB7BFC1FD0B08E9D222B27FA15;;;;;0;;;01;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;I;03;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;0;0;0;0;0;N;0;;;;;,
005056AB7BFC1FD0B08E9D222B283A15;005056AB7BFC1FD0B08E9D222B24FA15;005056AB7BFC1FD0B08E9D222B277A15;005056AB7BFC1FD0B08E9D222B27DA15;60;;;;0.215012;;;01;1;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;00000000000000000000000000000000;;;;;;;L;01;;U;;;;;;;;;;0;00000000000000000000000000000000;00000000000000000000000000000000;;;;;0;;17.00;Dez 89;17.00;0;0;N;0.00011027852316;KG;DIST_WT;;;,
