"NodeID";"NodeID";"NodeID";"TO Stop Key";"Successor";"Stage Type";"Stage Category";"Error on Node Instance";"Decimal Value";"Duration";"Means of Transport";"Transportation Mode";"Transportation Mode Category";"Not Relevant for Planning";"Relevant for ADR DG Exemption";"No ADR Exemption";"Planning Block";"Execution Block";"Predecessor Doc. Block";"Predecessor Doc. Block";"Shipping Type";"MTr from Transportation Proposal";"Carrier Party BP GUID";"Carrier";"SCAC";"Airline Code";"AWB Prefix";"Transportation Mode";"Transportation Mode Category";"Preferred Equipment Group";"Preferred Equipment Type";"Plan. and Exec. Org.";"Plan. and Exec. Group";"Agrmt Prtnr Function";"Role Code of Other Agreement Party";"Voyage";"Airline Code/Flight Number";"Vessel";"IMO Ship Identification Number";"Country/Region Key";"Schedule Key";"Aircraft Type";"Flight Number";"Space Allocation Action Code";"Space Allocation Advice Code";"Origin of Entry";"Allotment ID";"Successor Category of Stop";"Order Relationship";"Person Responsible";"Planning Status";"Organization Interaction Status";"Org. Interaction Requested By";"Rejection Reason Code";"Customs Activity";"Business Partner";"Invoicing Carrier";"SCAC";"Stage Invoicing Carrier Level";"Agreement";"Agreement Item No.";"NodeID";"NodeID";"Bill-To Party";"Bill-To Party";"External Reference Number";"Company Code Paying the Trp. Service";"Company Org. Paying the Trp. Service";"External Planning Relevance";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Maximum Utilization";"Driver Assignment Status";"Calculated CO₂ Emissions";"Calculated CO₂ Emissions UoM";"Allocation Method for CO₂ Emissions";"Dummy function in length 1";"Lenkzeitpause";"Data Aging Filter";
"005056AB7BFC1FD0AFCFBD935F303A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2FFA14";"005056AB7BFC1FD0AFCFBD935F301A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F305A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F2F9A14";"005056AB7BFC1FD0AFCFBD935F2FFA14";"60";"";"";"";"8.894971";"0:05";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"152.00";"69.39";"152.00";"0";"0";"N";"2.23825559742105";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F30BA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F307A14";"005056AB7BFC1FD0AFCFBD935F309A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F30DA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F301A14";"005056AB7BFC1FD0AFCFBD935F307A14";"70";"";"";"";"1.053298";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"138.00";"62.46";"138.00";"0";"0";"N";"0.26066353663158";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F313A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F30FA14";"005056AB7BFC1FD0AFCFBD935F311A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F315A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F309A14";"005056AB7BFC1FD0AFCFBD935F30FA14";"80";"";"";"";"0.375886";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"128.00";"55.53";"128.00";"0";"0";"N";"0.09145899884211";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F31BA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F317A14";"005056AB7BFC1FD0AFCFBD935F319A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F31DA14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F311A14";"005056AB7BFC1FD0AFCFBD935F317A14";"90";"";"";"";"0.231445";"";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"118.00";"49.21";"118.00";"0";"0";"N";"0.05543716815789";"KG";"DIST_WT";"";"";"";
"005056AB7BFC1FD0AFCFBD935F323A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F31FA14";"005056AB7BFC1FD0AFCFBD935F321A14";"";"";"";"";"0";"";"";"01";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"I";"03";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"0";"0";"0";"0";"0";"N";"0";"";"";"";"";"";
"005056AB7BFC1FD0AFCFBD935F325A14";"005056AB7BFC1FD0AFCFBD935F2D1A14";"005056AB7BFC1FD0AFCFBD935F319A14";"005056AB7BFC1FD0AFCFBD935F31FA14";"100";"";"";"";"5.441746";"0:03";"";"01";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"";"";"";"";"";"";"";"00000000000000000000000000000000";"";"";"";"";"";"";"L";"01";"";"U";"";"";"";"";"";"";"";"";"";"0";"00000000000000000000000000000000";"00000000000000000000000000000000";"";"";"";"";"0";"";"110.00";"47.19";"110.00";"0";"0";"N";"1.29685399410526";"KG";"DIST_WT";"";"";"";
