"NodeID";"Document";"Document Category";"Document Type";"Means of Transport";"Gross Volume";"Gross Volume UoM";"Net Weight";"Net Weight UoM";"Quantity";"Quantity UoM";"Tare Weight";"Tare Weight UoM";"Calculated CO₂ Emissions";"Calculated CO₂ Emissions UoM";"Total Distance";"Total Net Duration";
"005056AB7BFC1FD0AFCFBD935FEE9A14";"6100002622";"TO";"ZFOM";"ZFT003";"26.2";"M3";"1.131";"KG";"225";"PC";"1.700";"KG";"10.43081334631579";"KG";"44.102727";"0:29";
"005056AB7BFC1FD0AFCFBD935FF8BA14";"6100002623";"TO";"ZFOM";"ZFT003";"25.9";"M3";"1.135";"KG";"249";"PC";"1.700";"KG";"1.77415081552631";"KG";"7.483516";"0:04";
"005056AB7BFC1FD0AFCFBD9360015A14";"6100002624";"TO";"ZFOM";"ZFT003";"27.8";"M3";"1.126";"KG";"266";"PC";"1.700";"KG";"4.80170840694734";"KG";"20.235556";"0:13";
"005056AB7BFC1FD0AFCFBD936009FA14";"6100002625";"TO";"ZFOM";"ZFT003";"24.1";"M3";"1.078";"KG";"251";"PC";"1.700";"KG";"17.61762340952631";"KG";"73.973239";"0:49";
"005056AB7BFC1FD0AFCFBD9360111A14";"6100002626";"TO";"ZFOM";"ZFT003";"18.7";"M3";"774";"KG";"188";"PC";"1.700";"KG";"108.48905177310526";"KG";"465.592519";"5:10";
"005056AB7BFC1FD0AFCFBD9360173A14";"6100002627";"TO";"ZFOM";"ZFT003";"23.1";"M3";"1.099";"KG";"200";"PC";"1.700";"KG";"16.94000829842105";"KG";"70.778893";"0:47";
"005056AB7BFC1FD0AFCFBD93601E5A14";"6100002628";"TO";"ZFOM";"ZFT003";"27";"M3";"1.110";"KG";"280";"PC";"1.700";"KG";"2.3674701094737";"KG";"9.755579";"0:06";
"005056AB7BFC1FD0AFCFBD936026FA14";"6100002629";"TO";"ZFOM";"ZFT003";"24.8";"M3";"1.095";"KG";"245";"PC";"1.700";"KG";"28.6830413156842";"KG";"122.895525";"1:21";
"005056AB7BFC1FD0AFCFBD93602F9A14";"6100002630";"TO";"ZFOM";"ZFT003";"23.7";"M3";"1.136";"KG";"254";"PC";"2.800";"KG";"25.49220767847368";"KG";"104.917974";"1:09";
"005056AB7BFC1FD0AFCFBD93603A3A14";"6100002631";"TO";"ZFOM";"ZFT003";"30";"M3";"1.137";"KG";"290";"PC";"2.800";"KG";"1.73698726110526";"KG";"7.382521";"0:04";
"005056AB7BFC1FD0AFCFBD9360445A14";"6100002632";"TO";"ZFOM";"ZFT003";"25.3";"M3";"964";"KG";"260";"PC";"2.800";"KG";"17.70043107952633";"KG";"72.708157";"0:48";
"005056AB7BFC1FD0AFCFBD93604C7A14";"6100002633";"TO";"ZFOM";"ZFT003";"27.9";"M3";"1.138";"KG";"277";"PC";"2.800";"KG";"34.05063078784208";"KG";"143.309596";"1:35";
